"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
260;"Tim Kleindienst";"Borussia M.Gladbach";2;2;0;0;0;0;0;0
261;"Ihlas Bebou";"Hoffenheim";12;97;0;0;0.61;0.97;0.57;0.9
262;"Moritz Nicolas";"Borussia M.Gladbach";20;1800;0;0;0;0.35;0;0.02
263;"Kevin Akpoguma";"Hoffenheim";4;15;0;0;0;0;0;0
264;"Robin Hack";"Borussia M.Gladbach";4;247;0;0;0.41;0.78;0.15;0.28
265;"Anthony Caci";"Mainz 05";4;323;0;0;0.23;0.38;0.06;0.11
266;"Timo Hübers";"FC Cologne";8;681;0;0;0;0;0;0
267;"Niklas Dorsch";"FC Heidenheim";19;1368;0;0;0.41;1.2;0.03;0.08
268;"Finn Dahmen";"Augsburg";20;1800;0;0;0;0.23;0;0.01
269;"Mark Flekken";"Bayer Leverkusen";17;1502;0;0;0;0.07;0;0
270;"Frederik Rönnow";"Union Berlin";20;1800;0;0;0;0.02;0;0
271;"Kevin Stöger";"Borussia M.Gladbach";15;517;0;0;1.49;1.2;0.26;0.21
272;"Florian Neuhaus";"Borussia M.Gladbach";15;907;0;1;1.02;0.92;0.1;0.09
273;"Philipp Mwene";"Mainz 05";15;1085;0;0;0.35;0.64;0.03;0.05
274;"Amos Pieper";"Werder Bremen";12;963;0;0;0.39;0.07;0.04;0.01
275;"Alphonso Davies";"Bayern Munich";5;200;0;0;0;0.09;0;0.04
276;"Keven Schlotterbeck";"Augsburg";15;1293;0;1;0.47;0.76;0.03;0.05
277;"Sacha Boey";"Bayern Munich";9;458;0;0;0.39;0.18;0.08;0.04
278;"Valentin Gendrey";"Hoffenheim";4;20;0;1;0;0.7;0;3.14
279;"Pereira Lage";"St. Pauli";20;1443;0;2;3.35;1.52;0.21;0.1
280;"Mads Pedersen";"Augsburg";6;156;0;0;0.11;0.1;0.07;0.06
281;"Robert Skov";"Union Berlin";3;236;0;0;0.03;0.08;0.01;0.03
282;"Christopher Trimmel";"Union Berlin";17;1101;0;2;0.04;2.97;0;0.24
283;"Julian Chabot";"VfB Stuttgart";17;1439;0;0;1;0.19;0.06;0.01
284;"Julian Ryerson";"Borussia Dortmund";18;1180;0;6;0.43;4.67;0.03;0.36
285;"Alex Kral";"Union Berlin";11;192;0;0;0.12;0.11;0.06;0.05
286;"Tom Krauß";"FC Cologne";16;1015;0;1;0.31;0.59;0.03;0.05
287;"Nick Woltemade";"VfB Stuttgart";1;90;0;0;0;0.35;0;0.35
288;"Giovanni Reyna";"Borussia M.Gladbach";13;384;0;0;0.24;0.72;0.06;0.17
289;"Yannik Keitel";"Augsburg";3;125;0;0;0;0;0;0
290;"Exequiel Palacios";"Bayer Leverkusen";4;71;0;0;0.1;0.03;0.12;0.04
291;"Jessic Ngankam";"Eintracht Frankfurt";3;50;0;0;0;0;0;0
292;"Luca Netz";"Borussia M.Gladbach";15;937;0;2;0.04;2.43;0;0.23
293;"Immanuel Pherai";"Hamburger SV";6;19;0;0;0.03;0;0.14;0
294;"Jamal Musiala";"Bayern Munich";3;46;0;1;0.11;0.16;0.22;0.31
295;"Nathan Tella";"Bayer Leverkusen";10;457;0;2;1.03;1.6;0.2;0.31
296;"Loic Bade";"Bayer Leverkusen";17;1261;0;0;0.89;0.14;0.06;0.01
297;"Xavi Simons";"RasenBallsport Leipzig";1;90;0;0;0;0.03;0;0.03
298;"Fabio Silva";"Borussia Dortmund";14;396;0;4;0.58;1.41;0.13;0.32
299;"Felix Agu";"Werder Bremen";6;487;0;0;0.01;0.26;0;0.05
300;"Rocco Reitz";"Borussia M.Gladbach";20;1730;0;2;1.63;2.06;0.08;0.11
301;"Tim Siersleben";"FC Heidenheim";13;1002;0;0;0.63;0.12;0.06;0.01
302;"Atakan Karazor";"VfB Stuttgart";18;1191;0;0;0.86;1.12;0.06;0.08
303;"Lorenz Assignon";"VfB Stuttgart";12;503;0;0;0.49;0.42;0.09;0.07
304;"Cenk Özkacar";"FC Cologne";11;599;0;0;0.5;0.14;0.07;0.02
305;"Sepe Elye Wahi";"Eintracht Frankfurt";10;309;0;1;1.03;0.6;0.3;0.17
306;"Eren Sami Dinkci";"FC Heidenheim,Freiburg";9;339;0;1;0.96;0.13;0.25;0.03
307;"Joakim Maehle";"Wolfsburg";7;426;0;1;0.26;1.24;0.05;0.26
308;"Warmed Omari";"Hamburger SV";6;449;0;0;0.02;0.17;0;0.03
309;"William Mikelbrencis";"Hamburger SV";13;579;0;1;1.11;0.54;0.17;0.08
310;"El Chadaille Bitshiabu";"RasenBallsport Leipzig";7;343;0;0;0.09;0.03;0.02;0.01
311;"Karl Hein";"Werder Bremen";2;180;0;0;0;0;0;0
312;"Maxim Leitsch";"Mainz 05";3;158;0;0;0.02;0;0.01;0
313;"Guilherme Ramos";"Hamburger SV";8;31;0;0;0.12;0;0.35;0
314;"Jesper Lindstrom";"Wolfsburg";5;49;0;0;0.28;0.3;0.51;0.56
315;"Diant Ramaj";"FC Heidenheim";20;1800;0;0;0;0;0;0
316;"Ismaël Gharbi";"Augsburg";5;70;0;0;0.23;0.03;0.29;0.04
317;"Ben Bobzien";"Mainz 05";1;3;0;0;0;0;0;0
318;"Jonas Urbig";"Bayern Munich";4;360;0;0;0;0;0;0
319;"Piero Hincapié";"Bayer Leverkusen";1;90;0;0;0.52;0;0.52;0
320;"Lennard Maloney";"Mainz 05";13;418;0;0;0.48;0.04;0.1;0.01
321;"Noah Atubolu";"Freiburg";20;1800;0;0;0;0.28;0;0.01
322;"Arijon Ibrahimovic";"FC Heidenheim";20;1454;0;2;3.36;3.6;0.21;0.22
323;"Tom Bischof";"Bayern Munich";16;782;0;3;0.73;1.88;0.08;0.22
324;"Jeanuël Belocian";"Bayer Leverkusen";8;286;0;0;0.29;0.1;0.09;0.03
325;"Jonas Wind";"Wolfsburg";8;295;0;0;0.8;0.21;0.24;0.07
326;"Kevin Paredes";"Wolfsburg";3;56;0;0;0.06;0;0.1;0
327;"Lasse Rieß";"Mainz 05";4;290;0;0;0;0;0;0
328;"Umut Tohumcu";"Hoffenheim";5;120;0;0;0.09;0;0.07;0
329;"Diogo Leite";"Union Berlin";16;1387;0;0;0.71;0.2;0.05;0.01
330;"Muhammed Damar";"Hoffenheim";10;219;0;0;1.09;0.84;0.45;0.35
331;"Ben Seghir";"Bayer Leverkusen";7;186;0;0;0.08;1.21;0.04;0.58
332;"Adam Hlozek";"Hoffenheim";3;16;0;0;0.43;0;2.39;0
333;"Loïs Openda";"RasenBallsport Leipzig";2;54;0;0;0.16;0.05;0.26;0.09
334;"Vinicius Souza";"Wolfsburg";14;933;0;0;0.05;0.06;0;0.01
335;"Kilian Fischer";"Wolfsburg";10;785;0;0;0.09;0.47;0.01;0.05
336;"Badredine Bouanani";"VfB Stuttgart";11;419;0;0;0.89;0.57;0.19;0.12
337;"Fabio Chiarodia";"Borussia M.Gladbach";7;372;0;0;0.03;0;0.01;0
338;"Denis Huseinbasic";"FC Cologne";13;654;0;0;0.21;0.29;0.03;0.04
339;"Nelson Weiper";"Mainz 05";14;416;0;0;1.08;0.33;0.23;0.07
340;"Sael Kumbedi";"Wolfsburg";14;998;0;5;0.07;2.2;0.01;0.2
341;"Aljoscha Kemlein";"Union Berlin";18;1129;0;0;0.79;0.67;0.06;0.05
342;"Andreas Hanche-Olsen";"Mainz 05";13;843;0;1;0.24;0.71;0.03;0.08
343;"Aurélio Buta";"Eintracht Frankfurt";4;131;0;0;0.03;0.08;0.02;0.05
344;"Merlin Röhl";"Freiburg";2;52;0;0;0;0;0;0
345;"Josip Juranovic";"Union Berlin";5;172;0;0;0.08;0.84;0.04;0.44
346;"Damion Downs";"Hamburger SV";3;233;0;0;0.34;0.39;0.13;0.15
347;"Ameen Al Dakhil";"VfB Stuttgart";7;348;0;0;0.06;0.08;0.02;0.02
348;"Senne Lynen";"Werder Bremen";19;1687;0;0;0.62;0.31;0.03;0.02
349;"Cédric Zesiger";"Augsburg";14;677;0;0;0.52;0.19;0.07;0.03
350;"Václav Cerny";"Wolfsburg";2;40;0;0;0.07;0;0.16;0
351;"Omar Traoré";"FC Heidenheim";19;1147;0;2;0.2;1.4;0.02;0.11
352;"Benedikt Gimber";"FC Heidenheim";13;882;0;0;0.5;0.21;0.05;0.02
353;"Victor Boniface";"Werder Bremen";11;309;0;2;0.91;1.05;0.26;0.31
354;"Nicolas Seiwald";"RasenBallsport Leipzig";20;1701;0;2;1.02;1.26;0.05;0.07
355;"Leart Paqarada";"FC Heidenheim";1;6;0;0;0;0;0;0
356;"Max Finkgrafe";"RasenBallsport Leipzig";3;31;0;0;0;0.03;0;0.09
357;"Mathias Honsak";"FC Heidenheim";17;921;0;0;1.6;1.18;0.16;0.11
358;"Leonidas Stergiou";"FC Heidenheim,VfB Stuttgart";3;103;0;0;0;0;0;0
359;"Jan-Niklas Beste";"Freiburg";15;1065;0;2;1.58;2.79;0.13;0.24
