"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
227;"Hamari Traore";"Paris FC";11;877;0;1;0.36;0.7;0.04;0.07
228;"Anthony Lopes";"Nantes";19;1709;0;0;0.07;0;0;0
229;"Rachid Ghezzal";"Lyon";7;129;0;0;0.11;0.02;0.07;0.01
230;"Kevin Trapp";"Paris FC";9;810;0;0;0;0;0;0
231;"Benjamin Stambouli";"Metz";13;663;0;0;0.24;0.89;0.03;0.12
232;"Adrien Rabiot";"Marseille";1;90;0;0;0.03;0.2;0.03;0.2
233;"Marquinhos";"Paris Saint Germain";10;680;0;0;0.03;0.03;0;0
234;"Florian Sotoca";"Lens";15;73;0;0;0.07;0.73;0.09;0.9
235;"Maxime Dupé";"Nice";4;360;0;0;0;0;0;0
236;"Pierrick Capelle";"Angers";4;61;0;0;0;0.11;0;0.16
237;"Neal Maupay";"Marseille";1;1;0;0;0;0;0;0
238;"Morgan Sanson";"Nice";18;693;0;2;1.2;0.94;0.16;0.12
239;"Lucas Tousart";"Brest";12;410;0;0;0.21;0.48;0.05;0.11
240;"Maxime Lopez";"Paris FC";18;1518;0;3;0.31;4.91;0.02;0.29
241;"Kelvin Adou";"Nantes";20;1800;0;1;0.34;0.97;0.02;0.05
242;"Mathieu Cafaro";"Paris FC";8;131;0;0;0.3;0.24;0.2;0.17
243;"Brice Samba";"Rennes";20;1800;0;0;0;0.06;0;0
244;"Hans Hateboer";"Lyon,Rennes";9;333;0;0;0.22;0;0.06;0
245;"Caio Henrique";"Monaco";16;1209;0;0;0.19;1.05;0.01;0.08
246;"Matvey Safonov";"Paris Saint Germain";3;270;0;0;0;0;0;0
247;"Malang Sarr";"Lens";19;1710;0;1;0.93;0.28;0.05;0.01
248;"Thomas Meunier";"Lille";15;1161;0;0;0.53;1.64;0.04;0.13
249;"Karl-Johan Johnsson";"Strasbourg";1;90;0;0;0;0;0;0
250;"Abdoulaye Bamba";"Angers";2;97;0;0;0.01;0;0.01;0
251;"Matthieu Udol";"Lens";20;1793;0;6;1.65;8.49;0.08;0.43
252;"Carlens Arcus";"Angers";19;1648;0;3;0.13;1.64;0.01;0.09
253;"Pierre-Yves Hamel";"Paris FC";2;78;0;0;0;0;0;0
254;"Remy Descamps";"Lyon";4;360;0;0;0;0;0;0
255;"Fode Toure";"Metz";8;561;0;0;0.2;0.77;0.03;0.12
256;"Tanguy NDombele Alvaro";"Nice";5;163;0;1;0.25;0.45;0.14;0.25
257;"Bingourou Kamara";"Lorient";3;270;0;0;0;0;0;0
258;"Kenny Lala";"Brest";19;1693;0;1;0.19;2.16;0.01;0.11
259;"Moussa Niakhate";"Lyon";18;1490;0;2;0.1;0.55;0.01;0.03
260;"Nicolas Cozza";"Nantes";16;1194;0;0;0.13;0.3;0.01;0.02
261;"Kouakou Herve Koffi";"Angers";18;1620;0;0;0;0;0;0
262;"Orel Mangala";"Lyon";3;16;0;0;0.09;0.03;0.53;0.18
263;"Yvon Mvogo";"Lorient";17;1530;0;0;0;0.08;0;0
