"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
401;"Omar El Hilali";"Espanyol";20;1509;0;2;0.01;1.25;0;0.07
402;"Charles Pickel";"Espanyol";13;355;0;0;0.29;0.03;0.07;0.01
403;"Copete";"Valencia";19;1587;0;0;1.91;0.16;0.11;0.01
404;"André Almeida";"Valencia";14;809;0;1;0.82;1.41;0.09;0.16
405;"Marc Casadó";"Barcelona";15;629;0;1;0.39;0.39;0.06;0.06
406;"Pablo Marín";"Real Sociedad";19;790;0;0;1.07;0.21;0.12;0.02
407;"Manu Bueno";"Sevilla";4;62;0;0;0.1;0.2;0.14;0.29
408;"Gabriel Suazo";"Sevilla";15;1159;0;2;0.26;2.16;0.02;0.17
409;"Dawda Camara";"Girona";2;73;0;0;0.16;0.07;0.2;0.09
410;"Renato Veiga";"Villarreal";18;1359;0;0;0.18;0.03;0.01;0
411;"Iker Muñoz";"Osasuna";8;344;0;0;0.09;0;0.02;0
412;"Haissem Hassan";"Real Oviedo";21;1254;0;2;1.29;1.29;0.09;0.09
413;"Yago Alonso";"Elche";7;264;0;0;0.15;0.08;0.05;0.03
414;"Álvaro Vallés";"Real Betis";14;1260;0;0;0;0;0;0
415;"Sergi Cardona";"Villarreal";17;1029;0;3;0.55;2.2;0.05;0.19
416;"Lucas Bergström";"Mallorca";5;450;0;0;0;0;0;0
417;"Abderrahmane Rebbach";"Alaves";18;779;0;0;1.76;2.83;0.2;0.33
418;"Carlos Benavídez";"Alaves";7;204;0;0;0.15;0.08;0.07;0.04
419;"Adrià Alti";"Villarreal";1;7;0;0;0;0;0;0
420;"Natan";"Real Betis";20;1727;0;0;0.36;0.19;0.02;0.01
421;"Clemens Riedel";"Espanyol";9;594;0;1;0.11;0.05;0.02;0.01
422;"Pau Cubarsí";"Barcelona";18;1590;0;0;0.34;0.35;0.02;0.02
423;"Dani Pérez";"Real Betis";1;1;0;0;0;0;0;0
424;"Jhon Solis";"Girona";12;362;0;0;0.18;0.06;0.05;0.02
425;"David López";"Mallorca";3;244;0;0;0;0;0;0
426;"Javier Rodríguez";"Celta Vigo";18;1317;0;0;0.55;0.13;0.04;0.01
427;"Hugo Rincón";"Girona";19;1018;0;0;0.3;0.91;0.03;0.08
428;"Victor Parada";"Alaves";17;1091;0;1;1.19;1.5;0.1;0.12
429;"Augusto Batalla";"Rayo Vallecano";22;1980;0;0;0;0.05;0;0
430;"Johnny Cardoso";"Atletico Madrid";8;485;0;0;0.04;0.27;0.01;0.05
431;"Jon Martín";"Real Sociedad";14;1260;0;0;0.87;0.03;0.06;0
432;"Stanis Idumbo Muzambo";"Sevilla";1;48;0;0;0.05;0.27;0.09;0.5
433;"Iñigo Arguibide";"Osasuna";5;182;0;0;0;0.03;0;0.02
434;"Yoel Lago";"Celta Vigo";4;340;0;0;0;0.02;0;0.01
435;"Ladislav Krejcí";"Girona";2;180;0;0;0.12;0;0.06;0
436;"Alejandro Francés";"Girona";12;447;0;0;0.1;0.52;0.02;0.1
437;"Adama Boiro";"Athletic Club";7;455;0;0;0.04;0.09;0.01;0.02
438;"Marc Bernal";"Barcelona";9;153;0;1;0.06;0.62;0.04;0.37
439;"Gerard Martín";"Barcelona";19;1041;0;0;0.06;0.62;0.01;0.05
440;"Luka Sucic";"Real Sociedad";9;375;0;0;0.81;0.12;0.2;0.03
441;"Pedro Díaz";"Rayo Vallecano";19;1125;0;0;0.73;0.89;0.06;0.07
442;"Pelayo Fernández";"Rayo Vallecano";1;37;0;0;0.06;0;0.14;0
443;"Marc Domenech";"Mallorca";7;198;0;1;0.12;0.5;0.05;0.23
444;"Endrick";"Real Madrid";1;5;0;0;0;0;0;0
445;"Antoniu Roca";"Espanyol";7;76;0;0;0.18;0.02;0.22;0.02
446;"Pau Navarro";"Villarreal";9;740;0;0;0.02;0.32;0;0.04
447;"Luiz Júnior";"Villarreal";18;1620;0;0;0;0;0;0
448;"Jan Salas";"Mallorca";2;6;0;0;0;0;0;0
449;"Bojan Miovski";"Girona";1;44;0;0;0;0;0;0
450;"Santiago Mouriño";"Villarreal";14;1195;0;1;0.32;0.09;0.02;0.01
451;"Yáser Asprilla";"Girona";15;601;0;0;0.56;1.78;0.08;0.27
452;"Coba da Costa";"Getafe";14;318;0;0;0.23;0.08;0.07;0.02
453;"Matías Moreno";"Levante";14;1073;0;0;0.35;0.12;0.03;0.01
454;"Toni Fernández";"Barcelona";1;48;0;0;0;0.09;0;0.17
455;"David Jiménez";"Real Madrid";1;1;0;0;0;0;0;0
456;"Ramón Martínez";"Sevilla";2;99;0;0;0;0;0;0
457;"Fernando López";"Celta Vigo";1;83;0;0;0;0.02;0;0.02
458;"Arkaitz Mariezkurrena";"Real Sociedad";1;1;0;0;0;0;0;0
459;"Youssef Lekhedim";"Alaves";16;816;0;0;0.74;0.81;0.08;0.09
460;"Facundo Garcés";"Alaves";7;580;0;0;0.13;0;0.02;0
461;"Ismael Bekhoucha";"Getafe";4;106;0;1;0.03;0.72;0.02;0.61
462;"Ángel Ortiz";"Real Betis";9;406;0;0;0.03;0.74;0.01;0.16
463;"Pablo García";"Real Betis";14;331;0;0;1.3;0.06;0.35;0.01
464;"Vladyslav Krapyvtsov";"Girona";2;136;0;0;0;0;0;0
465;"Valde";"Real Madrid";1;81;0;0;0;0.02;0;0.02
466;"Mikel Goti";"Real Sociedad";4;64;0;0;0.78;0;1.09;0
467;"Andrés Castrín";"Sevilla";9;645;0;0;0.2;0.03;0.03;0
468;"Oso";"Sevilla";7;503;0;1;0.63;1.35;0.11;0.24
469;"Hugo Solozabal";"Getafe";1;4;0;0;0;0;0;0
470;"Lander Pinillos";"Alaves";1;1;0;0;0;0;0;0
471;"Claudio Echeverri";"Girona";2;46;0;0;0.13;0.08;0.26;0.15
472;"Jozhua Vertrouwd";"Rayo Vallecano";6;236;0;0;0.08;0.08;0.03;0.03
473;"Samu Becerra";"Rayo Vallecano";3;9;0;0;0;0.08;0;0.85
474;"Oier Luengo";"Real Oviedo";3;228;0;1;0.07;0.1;0.03;0.04
475;"Rahim Alhassane";"Real Oviedo";19;1402;0;0;0.05;1.39;0;0.09
476;"Kwasi Sibo";"Real Oviedo";13;787;0;0;0.25;0.03;0.03;0
477;"Borja Sánchez";"Real Oviedo";1;9;0;0;0;0;0;0
478;"Marco Esteban";"Real Oviedo";1;40;0;0;0;0;0;0
479;"Omar Falah";"Real Oviedo";1;9;0;0;0;0;0;0
480;"Jofre Torrents";"Barcelona";3;33;0;0;0;0;0;0
481;"Dro Fernández";"Barcelona";4;83;0;0;0;0.05;0;0.06
482;"Filip Ugrinic";"Valencia";12;615;0;3;0.26;1.39;0.04;0.2
483;"Calebe";"Alaves";14;620;0;0;0.14;0.38;0.02;0.05
484;"Unai Elgezabal";"Levante";11;942;0;0;0.55;0.13;0.05;0.01
485;"Jorge Cabello";"Levante";5;367;0;0;0;0;0;0
